     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0565    -1.6563     1.3543    -1.5953    -1.0242     0.7145     0.2750   -13.0907     2.1360     0.3173
    1.0538    -1.6559     1.3480    -1.6078    -1.0137     0.7124     0.2831   -12.1589     2.1253     0.3084
    1.0517    -1.6625     1.3568    -1.5910    -1.0212     0.7126     0.2725   -18.3598     2.1437     0.3222
    1.0561    -1.6558     1.3570    -1.5923    -1.0208     0.7133     0.2753   -11.7183     2.1373     0.3199
    1.0562    -1.6549     1.3509    -1.6040    -1.0164     0.7136     0.2798   -14.9143     2.1279     0.3088
    1.0701    -1.6396     1.3521    -1.6065    -1.0142     0.7144     0.2860   -12.3790     2.1177     0.3040
    1.0485    -1.6582     1.3541    -1.5988    -1.0104     0.7064     0.2842   -11.8469     2.1325     0.3146
    1.0565    -1.6517     1.3499    -1.6080    -1.0123     0.7110     0.2862   -14.8363     2.1195     0.3053
    1.0490    -1.6599     1.3530    -1.6001    -1.0142     0.7103     0.2836   -16.8964     2.1296     0.3129
    1.0560    -1.6550     1.3515    -1.6013    -1.0170     0.7125     0.2776   -18.5877     2.1323     0.3132
    1.0560    -1.6558     1.3486    -1.6067    -1.0183     0.7134     0.2793   -15.4165     2.1265     0.3083
    1.0487    -1.6608     1.3514    -1.6015    -1.0143     0.7114     0.2814   -11.1573     2.1306     0.3149
    1.0657    -1.6417     1.3532    -1.6067    -1.0087     0.7112     0.2894   -14.2061     2.1166     0.3028
    1.0523    -1.6598     1.3559    -1.5961    -1.0189     0.7144     0.2777   -15.3837     2.1332     0.3143
    1.0540    -1.6565     1.3507    -1.6010    -1.0184     0.7107     0.2792   -11.6613     2.1338     0.3129
    1.0528    -1.6589     1.3523    -1.5998    -1.0200     0.7125     0.2770   -13.0514     2.1315     0.3141
    1.0549    -1.6583     1.3508    -1.6039    -1.0198     0.7165     0.2785   -15.7893     2.1276     0.3089
    1.0510    -1.6571     1.3506    -1.6026    -1.0133     0.7088     0.2823   -14.2420     2.1306     0.3132
    1.0505    -1.6611     1.3478    -1.6059    -1.0183     0.7125     0.2801   -12.1408     2.1289     0.3109
    1.0599    -1.6521     1.3561    -1.5927    -1.0218     0.7134     0.2729   -17.1314     2.1397     0.3199
    1.0609    -1.6508     1.3518    -1.6033    -1.0172     0.7163     0.2815   -13.5294     2.1248     0.3103
    1.0533    -1.6590     1.3588    -1.5908    -1.0222     0.7113     0.2746   -18.4592     2.1387     0.3169
    1.0516    -1.6571     1.3522    -1.5999    -1.0153     0.7088     0.2800   -16.6334     2.1335     0.3139
    1.0487    -1.6611     1.3555    -1.5974    -1.0152     0.7114     0.2816   -11.7763     2.1302     0.3143
    1.0523    -1.6588     1.3539    -1.5998    -1.0197     0.7120     0.2806   -12.1740     2.1294     0.3081
    1.0522    -1.6590     1.3558    -1.5929    -1.0221     0.7085     0.2761   -19.8439     2.1405     0.3171
    1.0511    -1.6585     1.3550    -1.5952    -1.0200     0.7066     0.2795   -15.0036     2.1376     0.3133
