     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0584    -1.6539     1.3461    -1.6104    -1.0172     0.7154     0.2813   -13.7640     2.1235     0.3068
    1.0514    -1.6579     1.3478    -1.6143    -1.0088     0.7108     0.2897   -18.5583     2.1146     0.2988
    1.0562    -1.6536     1.3517    -1.6068    -1.0116     0.7132     0.2856   -11.9698     2.1202     0.3056
    1.0521    -1.6583     1.3536    -1.6014    -1.0158     0.7091     0.2827   -20.4968     2.1297     0.3066
    1.0538    -1.6550     1.3490    -1.6075    -1.0147     0.7104     0.2853   -14.4653     2.1235     0.3054
    1.0514    -1.6583     1.3537    -1.5990    -1.0188     0.7100     0.2807   -11.7412     2.1310     0.3104
    1.0539    -1.6585     1.3576    -1.5912    -1.0215     0.7132     0.2737   -11.3111     2.1393     0.3200
    1.0472    -1.6621     1.3534    -1.5995    -1.0151     0.7110     0.2823   -14.9881     2.1302     0.3134
    1.0490    -1.6581     1.3491    -1.6048    -1.0130     0.7072     0.2851   -11.4226     2.1282     0.3112
    1.0518    -1.6569     1.3506    -1.6070    -1.0089     0.7109     0.2873   -12.1292     2.1226     0.3066
    1.0542    -1.6569     1.3495    -1.6015    -1.0200     0.7116     0.2762   -12.2701     2.1355     0.3145
    1.0529    -1.6577     1.3561    -1.5932    -1.0192     0.7107     0.2765   -14.3244     2.1380     0.3192
    1.0530    -1.6564     1.3520    -1.6017    -1.0148     0.7095     0.2808   -11.9236     2.1303     0.3116
    1.0484    -1.6620     1.3573    -1.5936    -1.0186     0.7089     0.2798   -19.5667     2.1360     0.3148
    1.0542    -1.6576     1.3440    -1.6117    -1.0167     0.7145     0.2813   -18.8713     2.1258     0.3085
    1.0583    -1.6528     1.3563    -1.5963    -1.0188     0.7148     0.2803   -16.6929     2.1293     0.3134
    1.0553    -1.6541     1.3501    -1.6045    -1.0140     0.7124     0.2837   -13.2584     2.1261     0.3114
    1.0583    -1.6533     1.3526    -1.6002    -1.0182     0.7138     0.2788   -18.9706     2.1306     0.3133
    1.0571    -1.6512     1.3492    -1.6108    -1.0090     0.7107     0.2897   -13.7996     2.1176     0.3021
    1.0587    -1.6556     1.3520    -1.6009    -1.0218     0.7161     0.2758   -12.9534     2.1322     0.3118
    1.0551    -1.6565     1.3494    -1.6040    -1.0172     0.7141     0.2794   -13.3926     2.1300     0.3132
    1.0546    -1.6559     1.3528    -1.5992    -1.0173     0.7089     0.2784   -17.9563     2.1359     0.3119
    1.0518    -1.6569     1.3491    -1.6064    -1.0125     0.7089     0.2830   -14.9513     2.1270     0.3091
    1.0547    -1.6550     1.3540    -1.5956    -1.0207     0.7092     0.2768   -11.5302     2.1377     0.3159
    1.0510    -1.6585     1.3506    -1.6027    -1.0153     0.7115     0.2803   -13.3539     2.1296     0.3144
    1.0518    -1.6588     1.3551    -1.5938    -1.0206     0.7099     0.2756   -13.1010     2.1390     0.3197
    1.0518    -1.6566     1.3502    -1.6065    -1.0107     0.7085     0.2860   -12.8539     2.1257     0.3070
    1.0520    -1.6564     1.3527    -1.6022    -1.0123     0.7078     0.2842   -11.7642     2.1289     0.3086
    1.0502    -1.6600     1.3513    -1.6032    -1.0145     0.7102     0.2813   -19.3696     2.1291     0.3106
    1.0509    -1.6574     1.3505    -1.6059    -1.0122     0.7081     0.2851   -13.4542     2.1264     0.3057
    1.0553    -1.6568     1.3524    -1.5992    -1.0201     0.7138     0.2778   -12.8725     2.1334     0.3154
    1.0544    -1.6581     1.3552    -1.5966    -1.0208     0.7142     0.2775   -13.4399     2.1323     0.3141
    1.0621    -1.6495     1.3535    -1.6016    -1.0174     0.7158     0.2804   -11.4907     2.1248     0.3100
    1.0504    -1.6602     1.3511    -1.6007    -1.0190     0.7098     0.2796   -12.0209     2.1340     0.3125
    1.0508    -1.6588     1.3461    -1.6165    -1.0096     0.7111     0.2918   -19.4960     2.1127     0.2976
    1.0521    -1.6580     1.3575    -1.5930    -1.0182     0.7108     0.2791   -19.9121     2.1350     0.3156
    1.0554    -1.6538     1.3500    -1.6052    -1.0144     0.7102     0.2823   -19.8966     2.1266     0.3082
    1.0510    -1.6594     1.3529    -1.5997    -1.0171     0.7103     0.2802   -34.9173     2.1327     0.3124
    1.0543    -1.6542     1.3498    -1.6064    -1.0122     0.7098     0.2856   -13.4321     2.1252     0.3076
    1.0558    -1.6562     1.3488    -1.6072    -1.0175     0.7150     0.2812   -13.9301     2.1242     0.3072
    1.0486    -1.6629     1.3535    -1.5974    -1.0191     0.7115     0.2787   -15.7802     2.1347     0.3155
    1.0525    -1.6577     1.3517    -1.6048    -1.0133     0.7115     0.2837   -13.5401     2.1251     0.3062
    1.0529    -1.6590     1.3449    -1.6063    -1.0212     0.7122     0.2766   -16.5469     2.1348     0.3147
    1.0553    -1.6593     1.3518    -1.5977    -1.0282     0.7156     0.2717   -19.9875     2.1372     0.3156
    1.0516    -1.6593     1.3497    -1.6007    -1.0207     0.7099     0.2758   -16.1197     2.1370     0.3154
    1.0528    -1.6573     1.3509    -1.5984    -1.0198     0.7085     0.2768   -12.9390     2.1398     0.3167
    1.0514    -1.6587     1.3495    -1.6022    -1.0187     0.7105     0.2788   -11.7686     2.1326     0.3148
    1.0568    -1.6525     1.3473    -1.6137    -1.0100     0.7132     0.2884   -10.7004     2.1161     0.3009
    1.0571    -1.6539     1.3504    -1.6060    -1.0160     0.7142     0.2806   -11.5168     2.1240     0.3085
    1.0523    -1.6571     1.3518    -1.5971    -1.0220     0.7066     0.2741   -13.4276     2.1393     0.3175
    1.0494    -1.6601     1.3519    -1.5986    -1.0186     0.7078     0.2781   -21.1986     2.1371     0.3150
    1.0685    -1.6458     1.3546    -1.5985    -1.0228     0.7192     0.2751   -14.3368     2.1289     0.3141
    1.0533    -1.6572     1.3532    -1.5987    -1.0166     0.7113     0.2797   -16.9711     2.1329     0.3150
    1.0504    -1.6593     1.3540    -1.5983    -1.0168     0.7115     0.2815   -14.3197     2.1303     0.3145
    1.0491    -1.6590     1.3532    -1.6007    -1.0116     0.7078     0.2832   -12.6638     2.1307     0.3125
    1.0589    -1.6535     1.3481    -1.6043    -1.0212     0.7161     0.2758   -17.3929     2.1306     0.3141
    1.0506    -1.6600     1.3551    -1.5955    -1.0201     0.7096     0.2785   -12.1926     2.1355     0.3136
    1.0570    -1.6547     1.3572    -1.5920    -1.0196     0.7124     0.2733   -15.8093     2.1392     0.3199
    1.0551    -1.6577     1.3512    -1.5997    -1.0201     0.7154     0.2754   -17.4980     2.1350     0.3179
    1.0558    -1.6542     1.3493    -1.6088    -1.0133     0.7142     0.2854   -13.7254     2.1201     0.3051
    1.0751    -1.6367     1.3529    -1.6053    -1.0156     0.7183     0.2826   -16.5517     2.1193     0.3062
    1.0607    -1.6482     1.3487    -1.6098    -1.0099     0.7119     0.2867   -14.1645     2.1204     0.3054
    1.0590    -1.6547     1.3522    -1.5996    -1.0230     0.7136     0.2730   -17.6007     2.1368     0.3110
    1.0517    -1.6564     1.3518    -1.6043    -1.0117     0.7085     0.2860   -19.9441     2.1260     0.3073
    1.0528    -1.6574     1.3504    -1.6064    -1.0147     0.7121     0.2832   -17.1338     2.1224     0.3075
    1.0533    -1.6574     1.3573    -1.5932    -1.0172     0.7110     0.2775   -23.7996     2.1373     0.3175
    1.0524    -1.6582     1.3579    -1.5925    -1.0192     0.7111     0.2783   -13.6607     2.1354     0.3150
    1.0478    -1.6656     1.3503    -1.6028    -1.0204     0.7134     0.2804   -13.1517     2.1306     0.3114
    1.0637    -1.6476     1.3503    -1.6055    -1.0164     0.7161     0.2805   -11.4620     2.1252     0.3095
    1.0528    -1.6576     1.3554    -1.5935    -1.0190     0.7105     0.2765   -21.0544     2.1384     0.3201
    1.0491    -1.6625     1.3520    -1.6021    -1.0184     0.7135     0.2823   -20.0692     2.1276     0.3098
    1.0560    -1.6576     1.3492    -1.6043    -1.0203     0.7166     0.2790   -14.9029     2.1294     0.3119
    1.0576    -1.6552     1.3498    -1.6034    -1.0201     0.7158     0.2770   -12.9906     2.1298     0.3133
    1.0484    -1.6599     1.3493    -1.6066    -1.0122     0.7089     0.2846   -16.3659     2.1247     0.3092
    1.0510    -1.6616     1.3503    -1.6004    -1.0197     0.7116     0.2782   -12.5839     2.1368     0.3159
    1.0535    -1.6581     1.3537    -1.5970    -1.0190     0.7113     0.2759   -11.4239     2.1361     0.3166
    1.0553    -1.6565     1.3556    -1.5945    -1.0225     0.7116     0.2766   -20.6538     2.1368     0.3142
    1.0530    -1.6578     1.3514    -1.5969    -1.0236     0.7078     0.2726   -16.9886     2.1418     0.3179
    1.0547    -1.6543     1.3523    -1.6044    -1.0122     0.7127     0.2848   -11.7644     2.1236     0.3070
    1.0603    -1.6533     1.3536    -1.5971    -1.0235     0.7145     0.2746   -13.6611     2.1360     0.3155
    1.0556    -1.6549     1.3482    -1.6054    -1.0155     0.7121     0.2805   -16.1786     2.1301     0.3137
    1.0527    -1.6558     1.3460    -1.6096    -1.0126     0.7090     0.2828   -11.8598     2.1270     0.3083
    1.0589    -1.6538     1.3490    -1.6038    -1.0197     0.7153     0.2768   -12.7459     2.1315     0.3142
    1.0610    -1.6522     1.3573    -1.5921    -1.0271     0.7138     0.2717   -12.4766     2.1391     0.3140
    1.0582    -1.6502     1.3504    -1.6042    -1.0125     0.7109     0.2844   -11.9466     2.1266     0.3121
    1.0545    -1.6563     1.3483    -1.6051    -1.0162     0.7135     0.2789   -12.0068     2.1306     0.3133
    1.0529    -1.6570     1.3564    -1.5935    -1.0200     0.7096     0.2782   -10.7946     2.1366     0.3165
    1.0525    -1.6615     1.3544    -1.5960    -1.0255     0.7155     0.2735   -11.7035     2.1352     0.3152
    1.0566    -1.6557     1.3537    -1.5971    -1.0208     0.7134     0.2738   -15.0864     2.1366     0.3158
    1.0530    -1.6575     1.3515    -1.6012    -1.0165     0.7106     0.2792   -11.5609     2.1323     0.3135
    1.0600    -1.6529     1.3549    -1.5959    -1.0226     0.7162     0.2753   -18.4280     2.1340     0.3161
    1.0529    -1.6571     1.3588    -1.5893    -1.0198     0.7091     0.2752   -13.3013     2.1404     0.3219
    1.0526    -1.6589     1.3578    -1.5914    -1.0206     0.7103     0.2757   -14.9611     2.1402     0.3174
    1.0565    -1.6552     1.3540    -1.5967    -1.0205     0.7119     0.2750   -12.2796     2.1370     0.3152
    1.0520    -1.6577     1.3471    -1.6054    -1.0182     0.7104     0.2803   -12.3917     2.1305     0.3127
    1.0573    -1.6536     1.3502    -1.6034    -1.0169     0.7128     0.2779   -14.6433     2.1310     0.3120
   -0.5944    -1.0717     0.8669    -1.9028    -1.9968     1.9783    -0.0129    -0.3093     1.9951    -0.0070
    1.0521    -1.6600     1.3529    -1.6019    -1.0179     0.7159     0.2791   -11.5518     2.1268     0.3102
    1.0496    -1.6603     1.3553    -1.5967    -1.0154     0.7119     0.2810   -17.5131     2.1313     0.3156
    1.0504    -1.6595     1.3554    -1.5955    -1.0167     0.7100     0.2799   -13.1269     2.1355     0.3164
    1.0455    -1.6640     1.3537    -1.6012    -1.0127     0.7077     0.2860   -19.7805     2.1293     0.3089
    1.0564    -1.6550     1.3512    -1.6030    -1.0173     0.7140     0.2801   -14.0241     2.1280     0.3113
    1.0519    -1.6576     1.3489    -1.6029    -1.0159     0.7097     0.2800   -13.9313     2.1336     0.3148
    1.0520    -1.6585     1.3567    -1.5950    -1.0196     0.7122     0.2793   -11.7366     2.1315     0.3143
    1.0564    -1.6566     1.3493    -1.6036    -1.0227     0.7152     0.2760   -16.4935     2.1313     0.3103
    1.0515    -1.6603     1.3516    -1.5989    -1.0211     0.7110     0.2756   -11.4413     2.1363     0.3167
    1.0524    -1.6577     1.3547    -1.5954    -1.0202     0.7110     0.2785   -20.4404     2.1353     0.3165
    1.0521    -1.6593     1.3520    -1.6032    -1.0170     0.7135     0.2833   -12.9414     2.1252     0.3080
    1.0591    -1.6526     1.3503    -1.6045    -1.0169     0.7156     0.2794   -17.5809     2.1264     0.3118
    1.0489    -1.6597     1.3557    -1.5939    -1.0189     0.7058     0.2803   -11.9527     2.1377     0.3145
    1.0591    -1.6504     1.3524    -1.6031    -1.0129     0.7124     0.2834   -10.8450     2.1254     0.3108
    1.0537    -1.6569     1.3553    -1.5954    -1.0207     0.7119     0.2790   -13.1860     2.1328     0.3152
    1.0509    -1.6583     1.3498    -1.6058    -1.0155     0.7094     0.2837   -13.2554     2.1252     0.3066
    1.0543    -1.6580     1.3553    -1.5953    -1.0220     0.7123     0.2776   -11.8687     2.1357     0.3141
    1.0532    -1.6584     1.3499    -1.6013    -1.0221     0.7110     0.2766   -14.3319     2.1346     0.3129
    1.0511    -1.6601     1.3469    -1.6072    -1.0168     0.7131     0.2793   -19.2734     2.1293     0.3114
    1.0565    -1.6551     1.3572    -1.5928    -1.0212     0.7126     0.2764   -15.9402     2.1352     0.3175
    1.0490    -1.6593     1.3516    -1.6021    -1.0149     0.7071     0.2821   -44.0445     2.1304     0.3106
    1.0570    -1.6547     1.3533    -1.5986    -1.0201     0.7119     0.2766   -20.9256     2.1343     0.3127
    1.0545    -1.6555     1.3511    -1.6038    -1.0174     0.7103     0.2825   -19.9478     2.1280     0.3070
    1.0578    -1.6549     1.3508    -1.5991    -1.0221     0.7144     0.2742   -14.6636     2.1363     0.3184
    1.0505    -1.6590     1.3538    -1.6005    -1.0151     0.7112     0.2824   -14.3191     2.1278     0.3102
    1.0535    -1.6566     1.3549    -1.5963    -1.0168     0.7081     0.2786   -32.4723     2.1370     0.3137
    1.0553    -1.6573     1.3556    -1.5964    -1.0212     0.7154     0.2766   -12.3788     2.1322     0.3134
    1.0525    -1.6571     1.3492    -1.6050    -1.0159     0.7091     0.2818   -16.0581     2.1299     0.3083
    1.0531    -1.6585     1.3510    -1.5996    -1.0209     0.7134     0.2780   -12.9228     2.1334     0.3171
    1.0556    -1.6546     1.3531    -1.6024    -1.0149     0.7127     0.2816   -14.2616     2.1264     0.3081
    1.0490    -1.6614     1.3480    -1.6030    -1.0168     0.7086     0.2782   -20.6225     2.1373     0.3161
    1.0543    -1.6577     1.3502    -1.5978    -1.0264     0.7101     0.2716   -15.8306     2.1399     0.3193
    1.0557    -1.6557     1.3487    -1.6038    -1.0199     0.7124     0.2764   -13.9494     2.1328     0.3120
    1.0529    -1.6563     1.3518    -1.6043    -1.0110     0.7116     0.2853   -21.3244     2.1239     0.3087
    1.0493    -1.6603     1.3537    -1.5990    -1.0164     0.7087     0.2821   -13.5531     2.1322     0.3116
    1.0533    -1.6566     1.3490    -1.6044    -1.0164     0.7099     0.2793   -16.6831     2.1302     0.3129
    1.0525    -1.6575     1.3487    -1.6027    -1.0189     0.7092     0.2800   -18.9904     2.1346     0.3134
    1.0604    -1.6531     1.3552    -1.5965    -1.0217     0.7183     0.2755   -14.6678     2.1313     0.3161
    1.0499    -1.6595     1.3525    -1.6015    -1.0144     0.7111     0.2806   -11.7854     2.1285     0.3132
    1.0507    -1.6601     1.3525    -1.5980    -1.0202     0.7103     0.2777   -12.8220     2.1355     0.3150
    1.0669    -1.6444     1.3505    -1.6064    -1.0150     0.7156     0.2837   -14.4972     2.1219     0.3070
    1.0542    -1.6562     1.3539    -1.5988    -1.0163     0.7114     0.2791   -15.5263     2.1327     0.3126
    1.0518    -1.6592     1.3575    -1.5940    -1.0199     0.7100     0.2781   -18.2365     2.1357     0.3123
    1.0543    -1.6559     1.3597    -1.5896    -1.0183     0.7101     0.2756   -13.2143     2.1384     0.3202
    1.0536    -1.6585     1.3528    -1.6007    -1.0218     0.7145     0.2776   -28.0329     2.1288     0.3100
    1.0532    -1.6609     1.3530    -1.5935    -1.0264     0.7103     0.2704   -11.4456     2.1469     0.3210
    1.0529    -1.6583     1.3533    -1.5964    -1.0217     0.7114     0.2765   -20.5105     2.1364     0.3169
    1.0570    -1.6506     1.3473    -1.6128    -1.0083     0.7103     0.2892   -17.8885     2.1180     0.3025
    1.0554    -1.6523     1.3502    -1.6102    -1.0080     0.7105     0.2907   -14.4047     2.1163     0.3016
    1.0536    -1.6565     1.3501    -1.6037    -1.0170     0.7111     0.2802   -14.3476     2.1293     0.3104
    1.0555    -1.6557     1.3500    -1.6009    -1.0174     0.7113     0.2747   -13.2779     2.1374     0.3176
    1.0560    -1.6557     1.3483    -1.6066    -1.0195     0.7111     0.2808   -13.7559     2.1298     0.3045
    1.0526    -1.6562     1.3479    -1.6064    -1.0153     0.7092     0.2831   -13.4187     2.1277     0.3096
    1.0527    -1.6594     1.3526    -1.5983    -1.0214     0.7129     0.2755   -14.9918     2.1339     0.3165
    1.0608    -1.6558     1.3487    -1.6011    -1.0281     0.7201     0.2731   -11.4201     2.1340     0.3185
    1.0508    -1.6563     1.3537    -1.6008    -1.0119     0.7064     0.2830   -12.6331     2.1290     0.3097
    1.0519    -1.6591     1.3557    -1.5962    -1.0188     0.7122     0.2765   -14.0373     2.1322     0.3151
    1.0584    -1.6537     1.3538    -1.5995    -1.0184     0.7161     0.2792   -11.6790     2.1283     0.3131
    1.0540    -1.6582     1.3583    -1.5907    -1.0236     0.7108     0.2748   -13.4557     2.1398     0.3165
    1.0493    -1.6593     1.3508    -1.6037    -1.0115     0.7092     0.2838   -12.0845     2.1288     0.3116
    1.0573    -1.6550     1.3473    -1.6097    -1.0172     0.7145     0.2828   -15.5162     2.1235     0.3055
    1.0505    -1.6566     1.3516    -1.6032    -1.0105     0.7083     0.2847   -15.7495     2.1274     0.3112
    1.0564    -1.6571     1.3541    -1.5958    -1.0236     0.7153     0.2750   -14.2995     2.1348     0.3183
    1.0615    -1.6515     1.3542    -1.5989    -1.0207     0.7165     0.2772   -14.4634     2.1294     0.3128
    1.0554    -1.6535     1.3515    -1.6022    -1.0144     0.7108     0.2816   -20.7933     2.1290     0.3124
    1.0488    -1.6618     1.3479    -1.6051    -1.0168     0.7119     0.2814   -16.7434     2.1306     0.3126
    1.0529    -1.6563     1.3477    -1.6052    -1.0144     0.7088     0.2795   -14.4108     2.1333     0.3128
    1.0555    -1.6571     1.3526    -1.6020    -1.0192     0.7166     0.2797   -15.5375     2.1261     0.3108
    1.0525    -1.6602     1.3530    -1.5982    -1.0239     0.7137     0.2768   -15.5520     2.1332     0.3134
    1.0487    -1.6623     1.3525    -1.5997    -1.0172     0.7109     0.2787   -16.4730     2.1327     0.3150
    1.0492    -1.6627     1.3540    -1.5992    -1.0181     0.7122     0.2813   -11.8010     2.1307     0.3116
    1.0544    -1.6557     1.3537    -1.5983    -1.0170     0.7112     0.2788   -11.3234     2.1333     0.3141
    1.0532    -1.6570     1.3517    -1.6006    -1.0163     0.7115     0.2791   -11.7845     2.1316     0.3152
    1.0626    -1.6518     1.3534    -1.6008    -1.0225     0.7191     0.2763   -12.3985     2.1281     0.3097
    1.0542    -1.6574     1.3517    -1.5995    -1.0188     0.7130     0.2782   -14.8662     2.1340     0.3167
    1.0562    -1.6524     1.3520    -1.6052    -1.0106     0.7110     0.2849   -19.7099     2.1233     0.3069
    1.0574    -1.6522     1.3526    -1.6011    -1.0183     0.7124     0.2820   -13.3828     2.1269     0.3107
    1.0502    -1.6574     1.3498    -1.6036    -1.0145     0.7051     0.2826   -15.8047     2.1325     0.3088
    1.0542    -1.6570     1.3529    -1.5998    -1.0201     0.7126     0.2772   -11.4693     2.1307     0.3126
    1.0550    -1.6579     1.3531    -1.5992    -1.0202     0.7156     0.2765   -14.6713     2.1322     0.3138
    1.0610    -1.6515     1.3542    -1.6005    -1.0194     0.7162     0.2798   -14.3510     2.1261     0.3102
    1.0519    -1.6592     1.3447    -1.6105    -1.0171     0.7131     0.2828   -11.8646     2.1256     0.3101
    1.0545    -1.6573     1.3557    -1.5951    -1.0222     0.7129     0.2759   -12.2977     2.1341     0.3152
    1.0550    -1.6573     1.3561    -1.5947    -1.0222     0.7137     0.2759   -12.3487     2.1350     0.3148
    1.0520    -1.6600     1.3497    -1.6041    -1.0199     0.7141     0.2786   -19.4980     2.1281     0.3106
    1.0545    -1.6541     1.3513    -1.6052    -1.0105     0.7113     0.2861   -11.4661     2.1244     0.3085
    1.0522    -1.6577     1.3483    -1.6075    -1.0154     0.7121     0.2817   -16.9249     2.1251     0.3089
    1.0548    -1.6570     1.3542    -1.5979    -1.0184     0.7129     0.2756   -11.7759     2.1331     0.3150
    1.0515    -1.6576     1.3512    -1.6006    -1.0169     0.7091     0.2802   -12.2650     2.1324     0.3145
    1.0557    -1.6544     1.3512    -1.6022    -1.0191     0.7113     0.2803   -15.7838     2.1292     0.3103
    1.0576    -1.6563     1.3536    -1.5994    -1.0209     0.7175     0.2782   -27.5575     2.1298     0.3132
    1.0526    -1.6591     1.3609    -1.5860    -1.0254     0.7099     0.2731   -16.1986     2.1428     0.3199
    1.0550    -1.6576     1.3563    -1.5954    -1.0203     0.7145     0.2757   -18.9869     2.1337     0.3144
    1.0604    -1.6492     1.3501    -1.6081    -1.0117     0.7140     0.2855   -15.2775     2.1203     0.3056
    1.0510    -1.6578     1.3552    -1.5962    -1.0172     0.7077     0.2813   -15.5715     2.1349     0.3133
    1.0538    -1.6544     1.3505    -1.6072    -1.0111     0.7093     0.2856   -19.4878     2.1235     0.3045
    1.0515    -1.6605     1.3554    -1.5954    -1.0193     0.7145     0.2769   -17.1632     2.1346     0.3163
    1.0637    -1.6452     1.3490    -1.6092    -1.0107     0.7136     0.2863   -11.8973     2.1195     0.3069
    1.0539    -1.6584     1.3552    -1.5965    -1.0212     0.7131     0.2781   -14.8545     2.1332     0.3133
    1.0540    -1.6551     1.3529    -1.5997    -1.0158     0.7112     0.2811   -12.0977     2.1298     0.3143
    1.0577    -1.6556     1.3572    -1.5944    -1.0205     0.7157     0.2748   -18.5659     2.1347     0.3146
    1.0567    -1.6530     1.3525    -1.6005    -1.0158     0.7112     0.2809   -11.9528     2.1310     0.3137
    1.0530    -1.6592     1.3526    -1.5953    -1.0246     0.7106     0.2737   -14.0449     2.1409     0.3191
    1.0660    -1.6510     1.3532    -1.5985    -1.0293     0.7233     0.2702   -11.6785     2.1319     0.3132
    1.0505    -1.6612     1.3506    -1.6032    -1.0208     0.7128     0.2808   -11.9819     2.1276     0.3097
    1.0541    -1.6575     1.3505    -1.6043    -1.0184     0.7107     0.2783   -15.3207     2.1305     0.3064
    1.0596    -1.6493     1.3515    -1.6050    -1.0129     0.7120     0.2842   -11.4887     2.1229     0.3082
    1.0586    -1.6556     1.3544    -1.5955    -1.0262     0.7176     0.2722   -20.4621     2.1353     0.3171
    1.0555    -1.6554     1.3517    -1.6032    -1.0178     0.7129     0.2816   -20.2450     2.1265     0.3082
    1.0524    -1.6546     1.3484    -1.6076    -1.0099     0.7074     0.2849   -20.3326     2.1259     0.3095
    1.0591    -1.6540     1.3544    -1.5991    -1.0191     0.7169     0.2793   -14.2514     2.1283     0.3135
    1.0536    -1.6575     1.3545    -1.5972    -1.0175     0.7114     0.2779   -12.9756     2.1342     0.3158
    1.0505    -1.6576     1.3564    -1.5953    -1.0154     0.7076     0.2820   -16.6054     2.1334     0.3139
    1.0590    -1.6521     1.3513    -1.6051    -1.0166     0.7146     0.2841   -12.9706     2.1223     0.3059
    1.0547    -1.6568     1.3553    -1.5925    -1.0219     0.7113     0.2738   -13.5840     2.1411     0.3214
    1.0528    -1.6577     1.3498    -1.6042    -1.0190     0.7104     0.2821   -19.9610     2.1292     0.3072
    1.0535    -1.6572     1.3513    -1.6012    -1.0170     0.7124     0.2805   -11.7021     2.1311     0.3137
    1.0477    -1.6611     1.3457    -1.6073    -1.0147     0.7089     0.2814   -18.7661     2.1311     0.3129
    1.0538    -1.6555     1.3498    -1.6099    -1.0100     0.7112     0.2872   -12.1458     2.1194     0.3025
    1.0533    -1.6622     1.3518    -1.6006    -1.0224     0.7156     0.2786   -16.6209     2.1322     0.3125
    1.0549    -1.6552     1.3509    -1.6033    -1.0139     0.7126     0.2808   -14.1388     2.1289     0.3127
    1.0536    -1.6519     1.3494    -1.6093    -1.0052     0.7072     0.2908   -13.1131     2.1199     0.3063
    1.0728    -1.6378     1.3559    -1.6020    -1.0155     0.7155     0.2843   -15.0423     2.1194     0.3062
    1.0526    -1.6567     1.3529    -1.6018    -1.0126     0.7113     0.2834   -12.8570     2.1278     0.3115
    1.0496    -1.6582     1.3502    -1.6015    -1.0132     0.7080     0.2821   -11.7824     2.1338     0.3160
    1.0539    -1.6580     1.3527    -1.5983    -1.0212     0.7125     0.2750   -13.5217     2.1353     0.3156
    1.0516    -1.6566     1.3500    -1.6076    -1.0099     0.7097     0.2871   -12.2275     2.1226     0.3058
    1.0520    -1.6583     1.3501    -1.6025    -1.0164     0.7094     0.2787   -18.6054     2.1336     0.3129
    1.0561    -1.6552     1.3541    -1.5975    -1.0181     0.7117     0.2769   -15.1727     2.1358     0.3141
    1.0601    -1.6529     1.3552    -1.5941    -1.0225     0.7149     0.2734   -12.5878     2.1378     0.3195
    1.0481    -1.6607     1.3488    -1.6063    -1.0134     0.7095     0.2864   -12.4353     2.1263     0.3081
    1.0556    -1.6564     1.3479    -1.6045    -1.0219     0.7132     0.2762   -13.0224     2.1317     0.3121
    1.0574    -1.6545     1.3496    -1.6040    -1.0198     0.7144     0.2777   -16.8367     2.1300     0.3104
    1.0469    -1.6628     1.3523    -1.6018    -1.0142     0.7099     0.2848   -21.1815     2.1287     0.3105
    1.0510    -1.6580     1.3499    -1.6010    -1.0170     0.7080     0.2793   -17.3715     2.1358     0.3154
    1.0524    -1.6584     1.3527    -1.6011    -1.0165     0.7111     0.2807   -14.9494     2.1312     0.3100
    1.0527    -1.6571     1.3537    -1.5973    -1.0210     0.7077     0.2742   -14.6510     2.1346     0.3158
    1.0565    -1.6553     1.3520    -1.5972    -1.0270     0.7113     0.2750   -18.1807     2.1377     0.3133
    1.0509    -1.6570     1.3512    -1.6081    -1.0101     0.7080     0.2887   -13.2308     2.1202     0.3013
    1.0478    -1.6572     1.3491    -1.6068    -1.0065     0.7027     0.2878   -11.8240     2.1280     0.3081
    1.0566    -1.6559     1.3502    -1.6024    -1.0198     0.7131     0.2764   -15.1129     2.1326     0.3134
    1.0534    -1.6607     1.3471    -1.6089    -1.0218     0.7162     0.2801   -14.3851     2.1254     0.3045
    1.0530    -1.6580     1.3553    -1.5940    -1.0203     0.7102     0.2762   -11.3963     2.1386     0.3181
    1.0536    -1.6589     1.3509    -1.6015    -1.0204     0.7163     0.2757   -13.7536     2.1312     0.3141
    1.0541    -1.6567     1.3500    -1.6032    -1.0175     0.7106     0.2770   -13.7825     2.1320     0.3119
    1.0569    -1.6557     1.3557    -1.5969    -1.0208     0.7151     0.2769   -11.7102     2.1320     0.3125
    1.0569    -1.6564     1.3547    -1.5957    -1.0211     0.7135     0.2749   -15.6644     2.1381     0.3158
    1.0550    -1.6521     1.3461    -1.6135    -1.0085     0.7094     0.2893   -12.3662     2.1174     0.3041
    1.0522    -1.6574     1.3489    -1.6027    -1.0161     0.7099     0.2796   -16.4047     2.1345     0.3156
    1.0557    -1.6562     1.3499    -1.6085    -1.0148     0.7135     0.2863   -14.4447     2.1216     0.3029
    1.0536    -1.6574     1.3539    -1.5967    -1.0211     0.7120     0.2775   -12.2268     2.1339     0.3158
    1.0561    -1.6569     1.3464    -1.6078    -1.0195     0.7160     0.2802   -12.0465     2.1271     0.3112
    1.0564    -1.6552     1.3560    -1.5937    -1.0205     0.7124     0.2740   -12.6021     2.1389     0.3176
    1.0546    -1.6562     1.3446    -1.6104    -1.0149     0.7146     0.2824   -21.2734     2.1259     0.3116
    1.0502    -1.6612     1.3517    -1.5977    -1.0255     0.7110     0.2777   -11.9238     2.1347     0.3150
    1.0556    -1.6534     1.3500    -1.6042    -1.0154     0.7108     0.2831   -34.1366     2.1272     0.3102
