     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.2192    -1.6668     2.0095    -1.5118   -12.2807     0.9379     0.0415   -16.9410     2.1998     0.3864
    1.0442    -1.6658     1.9628    -1.6074    -0.9985     0.7091     0.2726   -12.0230     2.1370     0.3337
    1.0610    -1.6564     1.9595    -1.6370    -0.9853     0.7343     0.2899   -16.9293     2.0877     0.3040
    1.0441    -1.6672     1.9657    -1.6000    -1.0007     0.7110     0.2652   -20.4537     2.1463     0.3443
    1.0488    -1.6609     1.9709    -1.5982    -0.9998     0.7108     0.2743   -19.4379     2.1374     0.3354
    1.0516    -1.6679     1.9731    -1.5919    -1.0153     0.7222     0.2612   -13.7088     2.1457     0.3408
    1.0861    -1.6386     1.9647    -1.6206    -1.0080     0.7425     0.2791   -13.1389     2.1020     0.3143
    1.0597    -1.6597     1.9652    -1.6038    -1.0167     0.7255     0.2635   -13.0752     2.1356     0.3334
    1.0581    -1.6539     1.9597    -1.6164    -0.9949     0.7206     0.2761   -11.3454     2.1242     0.3278
    1.0519    -1.6636     1.9682    -1.6000    -1.0126     0.7190     0.2667   -16.9415     2.1360     0.3352
    1.0557    -1.6582     1.9725    -1.5928    -1.0095     0.7177     0.2632   -11.9480     2.1437     0.3419
    1.0482    -1.6589     1.9631    -1.6101    -0.9862     0.7099     0.2784   -16.9439     2.1332     0.3337
    1.0503    -1.6539     1.9724    -1.5936    -0.9989     0.7063     0.2680   -14.1107     2.1435     0.3388
    1.0507    -1.6633     1.9744    -1.5922    -1.0062     0.7182     0.2693   -19.9816     2.1400     0.3410
    1.0615    -1.6629     1.9711    -1.5949    -1.0279     0.7319     0.2600   -14.6449     2.1367     0.3388
    1.0618    -1.6555     1.9633    -1.6080    -1.0098     0.7250     0.2687   -13.1431     2.1308     0.3318
    1.0881    -1.6368     1.9675    -1.6160    -1.0074     0.7424     0.2774   -16.8571     2.1057     0.3174
    1.1957    -1.6676     2.0129    -1.5051   -10.3397     0.8968     0.0537   -11.5267     2.2070     0.4002
    1.0486    -1.6657     1.9725    -1.5928    -1.0067     0.7182     0.2666   -16.8835     2.1431     0.3434
    1.0423    -1.6688     1.9703    -1.5966    -0.9982     0.7108     0.2717   -10.6469     2.1438     0.3411
    1.0502    -1.6692     1.9665    -1.6060    -1.0102     0.7279     0.2725   -16.9754     2.1267     0.3306
    1.0463    -1.6649     1.9685    -1.6015    -0.9984     0.7112     0.2705   -11.5002     2.1381     0.3354
    1.2165    -1.6246     2.0094    -1.5104   -13.4233     0.8610     0.0609   -10.6442     2.2048     0.3860
    1.0575    -1.6587     1.9799    -1.5721    -1.0303     0.7175     0.2417   -16.9449     2.1681     0.3691
    1.0467    -1.6753     1.9453    -1.6224    -1.0148     0.7316     0.2613   -12.9756     2.1369     0.3414
    1.0531    -1.6696     1.9785    -1.5793    -1.0320     0.7258     0.2486   -15.5259     2.1559     0.3535
    1.0570    -1.6598     1.9679    -1.6022    -1.0054     0.7238     0.2682   -14.3513     2.1348     0.3358
